Timestamp_Unix,Bus_V,Shunt_mV,Current_mA,Power_mW
1779966986.3820858,Bus Voltage,Shunt Voltage,Current,Power
1779966988.11387,5.048,6.180,62.000,312.000
1779966988.1176693,5.048,5.660,56.200,286.000
1779966988.1207926,5.044,5.450,44.900,230.000
1779966988.1248264,5.056,4.510,44.800,226.000
1779966988.1286557,5.056,4.470,45.500,272.000
1779966988.1328995,5.048,6.060,56.900,288.000
1779966988.1358025,5.056,5.670,56.300,286.000
1779966988.138827,5.056,5.670,56.700,566.000
1779966988.1427522,5.032,11.130,98.400,494.000
1779966988.1467183,5.040,8.960,87.900,446.000
1779966988.149738,5.040,8.910,92.600,468.000
1779966988.153654,5.040,9.240,87.900,452.000
1779966988.157846,5.040,8.820,88.200,442.000
1779966988.1607676,5.036,8.700,111.900,564.000
1779966988.164769,5.040,8.690,86.900,440.000
1779966988.1687212,5.040,8.700,87.000,440.000
1779966988.1717463,5.040,8.690,86.600,534.000
1779966988.1758313,5.032,11.400,113.900,574.000
1779966988.179585,5.032,11.430,114.200,590.000
1779966988.1827722,5.032,11.760,87.000,440.000
1779966988.1867507,5.044,8.670,86.700,512.000
1779966988.190537,5.032,11.350,114.500,576.000
1779966988.1937234,5.032,11.460,114.600,576.000
1779966988.1977427,5.032,8.690,86.900,440.000
1779966988.2008379,5.036,8.680,87.000,440.000
1779966988.204813,5.040,8.700,86.800,440.000
1779966988.2088013,5.032,10.920,115.200,580.000
1779966988.2124708,5.032,12.890,113.700,570.000
1779966988.215742,5.032,11.390,113.900,574.000
1779966988.2197533,5.032,11.310,113.100,570.000
1779966988.2227252,5.036,11.340,113.400,570.000
1779966988.2272394,5.032,11.360,113.800,574.000
1779966988.2308867,5.032,11.380,113.800,570.000
1779966988.2337248,5.032,11.370,113.100,570.000
1779966988.2379978,5.028,11.320,113.300,570.000
1779966988.2419527,5.032,11.320,113.100,570.000
1779966988.2451777,5.032,11.380,113.800,574.000
1779966988.2487552,5.032,11.370,113.700,574.000
1779966988.2526658,5.032,11.290,113.300,570.000
1779966988.2558668,5.032,11.330,113.300,570.000
1779966988.259897,5.032,11.320,113.900,574.000
1779966988.2636528,5.032,11.400,113.900,574.000
1779966988.266816,5.032,11.390,113.900,574.000
1779966988.270825,5.032,11.320,113.300,570.000
1779966988.2745502,5.032,11.350,113.400,570.000
1779966988.2778416,5.028,11.400,113.800,574.000
1779966988.2816234,5.032,11.400,113.800,574.000
1779966988.285603,5.032,11.400,113.500,570.000
1779966988.2888246,5.032,11.350,113.500,570.000
1779966988.292753,5.032,11.320,113.200,570.000
1779966988.2965293,5.032,11.400,113.800,574.000
1779966988.2997875,5.032,11.380,113.800,574.000
1779966988.3038652,5.032,11.350,113.100,570.000
1779966988.3075166,5.032,11.330,113.300,570.000
1779966988.310781,5.032,11.320,113.800,574.000
1779966988.3147497,5.028,11.390,114.100,574.000
1779966988.3178082,5.032,11.400,113.800,574.000
1779966988.3219619,5.028,11.340,113.500,570.000
1779966988.3256326,5.032,11.330,113.400,570.000
1779966988.3286898,5.032,11.350,114.000,574.000
1779966988.3327513,5.032,11.380,113.900,574.000
1779966988.3366632,5.032,11.400,113.800,570.000
1779966988.339787,5.032,11.320,113.600,570.000
1779966988.3438315,5.032,11.310,113.400,570.000
1779966988.347673,5.028,11.380,113.800,570.000
1779966988.3508306,5.032,11.380,114.000,574.000
1779966988.3548634,5.032,11.360,113.400,570.000
1779966988.3586798,5.032,11.310,113.500,570.000
1779966988.3618386,5.032,11.340,113.600,574.000
